Date,Adj Close,Close,High,Low,Open,sentiment,article_count,sentiment_5d_avg,sentiment_5d_std,sentiment_change,sentiment_streak,sentiment_acceleration,relative_article_volume
2025-01-08,394.9400024414063,402.5,387.3999938964844,392.9500122070313,73038800,0.09485361204894034,5,0.09485361204894034,0.0,0.0,3.0,0.0,1.0
2025-01-10,394.739990234375,399.2799987792969,377.2900085449219,391.3999938964844,62287300,-0.1849277653441183,5,-0.045037076647588985,0.1978353092043444,-0.27978137739305864,0.0,-0.27978137739305864,1.0
2025-01-13,403.30999755859375,403.7900085449219,380.0700073242188,383.2099914550781,67580500,0.04781905769576383,24,-0.01408503186647138,0.14981152162763117,0.23274682303988214,0.0,0.5125282004329408,2.1176470588235294
2025-01-14,396.3599853515625,422.6400146484375,394.5400085449219,414.3399963378906,84565000,-0.028452150298080636,9,-0.017676811474373694,0.12253134917752452,-0.07627120799384446,0.0,-0.3090180310337266,0.8372093023255814
2025-01-15,428.2200012207031,429.7999877929688,405.6600036621094,409.8999938964844,81375500,0.03120362310979209,9,-0.007900724557540538,0.10834347246362243,0.059655773407872724,0.0,0.1359269814017172,0.8653846153846153
2025-01-16,413.8200073242188,424.0,409.1300048828125,423.489990234375,68335200,0.09760558752244385,20,-0.007350329462839836,0.10900096974956527,0.06640196441265175,0.0,0.00674619100477903,1.4925373134328357
2025-01-17,426.5,439.739990234375,419.75,421.5,94991400,0.44199292523882233,5,0.11803380865374828,0.18661092544442406,0.34438733771637847,3.0,0.27798537330372675,0.3731343283582089
2025-01-21,424.0700073242188,433.2000122070313,406.30999755859375,432.6400146484375,87320900,0.06427693755247697,11,0.12132538462509093,0.18520263737156184,-0.37771598768634534,3.0,-0.7221033254027238,1.0185185185185184
2025-01-22,415.1099853515625,428.0,414.5899963378906,416.80999755859375,60963300,0.6853523155281033,5,0.26408627779032773,0.2876585533610368,0.6210753779756263,3.0,0.9987913656619716,0.5
2025-01-23,412.3800048828125,420.7300109863281,408.9500122070313,416.05999755859375,50690600,0.04089056253991161,24,0.2660236656763516,0.2857240812318085,-0.6444617529881916,3.0,-1.265537130963818,1.8461538461538463
2025-01-24,406.5799865722656,418.8800048828125,405.7799987792969,414.4500122070313,56427100,0.031159951488278142,7,0.2527345384695185,0.29684436707920225,-0.009730611051633465,3.0,0.6347311419365582,0.673076923076923
2025-01-27,397.1499938964844,406.6900024414063,389.0,394.7999877929688,58125500,0.051574699471457645,15,0.17465089331604552,0.2857567054014427,0.020414747983179504,3.0,0.03014535903481297,1.2096774193548387
2025-01-28,398.0899963378906,400.5899963378906,386.5,396.9100036621094,48910700,0.07214188798445924,15,0.17622388340244197,0.2850179350942942,0.020567188513001593,3.0,0.0001524405298220892,1.1363636363636365
2025-01-29,389.1000061035156,398.5899963378906,384.4800109863281,395.2099914550781,68033600,0.030419606809328124,24,0.04523734165868695,0.017325193980342685,-0.04172228117513112,3.0,-0.06228946968813271,1.411764705882353
2025-01-30,400.2799987792969,412.5,384.4100036621094,410.7799987792969,98092900,0.04576412062926372,22,0.04621205327655738,0.017155772202908648,0.0153445138199356,3.0,0.057066794995066714,1.325301204819277
2025-01-31,404.6000061035156,419.989990234375,401.3399963378906,401.5299987792969,83568200,0.06169872141455104,15,0.05231980726181196,0.015843215484569687,0.015934600785287314,3.0,0.0005900869653517153,0.8241758241758242
