Date,Adj Close,Close,High,Low,Open,sentiment,article_count,sentiment_5d_avg,sentiment_5d_std,sentiment_change,sentiment_streak,sentiment_acceleration,relative_article_volume,has_sentiment,composite_sentiment
2025-01-07,0.8356868313404424,0.8787921885824594,0.8532530921572019,0.8706891146179083,0.20776876770909392,-0.12445256223299812,22,-0.1300289586295105,-0.3,0.005543821933084114,0.3,0.03534104248116032,-0.031200000000000006,1.0,-0.059748191205080715
2025-01-08,0.8385014917433571,0.8223621777650516,0.8404281222054937,0.8085660581207252,0.18917697040419534,-0.10710942359200971,5,-0.10247867717014508,-0.26404635472474264,0.01747028993609134,0.3,0.04200676616990473,-0.276,1.0,-0.055620940808161094
2025-01-10,0.8375308885506438,0.8070025065932909,0.7905589091406944,0.8010899659836408,0.1140502335591479,-0.3,5,-0.297571603177226,0.012854723136021762,-0.12710248478411848,-0.3,-0.04546093250062151,-0.23775000000000002,1.0,-0.24209750382129291
2025-01-13,0.8791187325823822,0.8285156248294085,0.8042717234152685,0.7615877146629495,0.15103677901496382,-0.13953660793434491,24,-0.2676667522390891,-0.03866081003821442,0.1158907176559895,-0.3,0.17115036551799606,0.24651428571428569,1.0,-0.10301419391345396
2025-01-14,0.8453922708945514,0.9184317073060664,0.8756474523436613,0.9117348343119229,0.26971696893680797,-0.19212051259000687,9,-0.28313651059351796,-0.07143370559010115,-0.030616890918900186,-0.3,-0.04654231450371517,-0.15083076923076927,1.0,-0.1815083802587706
2025-01-15,1.0,0.9525853692337549,0.9304987094419563,0.8903196890101106,0.24743015061682672,-0.15099184053209844,9,-0.3,-0.08100954342573419,0.033827041104586224,-0.3,0.07135886805839527,-0.08353846153846156,1.0,-0.14998213689244141
2025-01-16,0.9301208648290666,0.9249189495046422,0.9476150774872982,0.9558673435593386,0.15631028952949272,-0.10521212027507383,20,-0.2987944225903416,-0.07968056967613144,0.03702545741638952,-0.3,0.0371286429149751,0.16029850746268648,1.0,-0.12040258498056287
2025-01-17,0.9916533160597361,0.9999999999999998,1.0,0.9462691664004923,0.3425720504641485,0.13221995150431667,5,-0.024154830235251168,0.07718942208116819,0.16882026604062153,0.3,0.1090013900105853,-0.2749253731343284,1.0,0.09894332640864088
2025-01-21,0.9798612425438753,0.9688037658729194,0.9337049142966043,0.9999999999999998,0.28897398182535994,-0.12818999880118961,11,-0.016945010105253677,0.07434290404873439,-0.1735339680952565,0.3,-0.15600133380711398,-0.024000000000000077,1.0,-0.05597801824373402
2025-01-22,0.9363807667143229,0.9439992791306129,0.9745474090127035,0.9236482140307543,0.10479870590413765,0.30000000000000004,5,0.29575637375473657,0.2814330711910436,0.29999999999999993,0.3,0.3,-0.22560000000000002,1.0,0.27194292831049943
